PREFERENCE,PROPERTY_TYPE,BEDROOM_NUM,BATHROOM_NUM,BALCONY_NUM,PRICE_PER_UNIT_AREA,FURNISH,AGE,FLOOR_NUM,TOTAL_FLOOR,SUPERBUILTUP_SQFT,PRICE,LOCALITY_WO_CITY,stories
S,Independent/Builder Floor,3.0,3.0,2.0,10625.0,Semi-furnished,1-5,3.0,4.0,1600.0,1.7,Sector 50,single
S,Residential Apartment,3.0,3.0,3.0,16030.0,Semi-furnished,1-5,20.0,32.0,2588.0,4.15,Sector 62,single
S,Independent House/Villa,5.0,4.0,4.0,27777.777777777777,Furnished,1-5,3.0,3.0,3600.0,10.0,Sector 109,multi
S,Independent/Builder Floor,3.0,3.0,2.0,8800.0,Semi-furnished,Under Construction,3.0,5.0,2250.0,1.98,Sector 37D,single
S,Independent/Builder Floor,3.0,3.0,2.0,4561.0,Semi-furnished,Under Construction,3.0,3.0,2850.0,1.25,Sector 95,single
S,Residential Apartment,2.0,2.0,1.0,10033.0,Furnished,0-1,1.0,14.0,598.0,0.6,Sector 67A,single
S,Residential Apartment,3.0,4.0,2.0,8766.0,Semi-furnished,1-5,14.0,14.0,1743.0,1.35,Sector 71,single
S,Independent/Builder Floor,4.0,4.0,2.0,10681.0,Semi-furnished,0-1,2.0,4.0,2200.0,2.35,Sector 50,single
S,Independent/Builder Floor,3.0,3.0,2.0,12000.0,Semi-furnished,0-1,1.0,4.0,1700.0,2.04,South City 2,single
S,Independent/Builder Floor,4.0,4.0,3.0,13055.0,Semi-furnished,0-1,1.0,4.0,1800.0,2.35,Malibu Town,single
S,Independent/Builder Floor,4.0,3.0,2.0,10756.0,Semi-furnished,0-1,1.0,4.0,1850.0,1.99,Mayfield Garden,single
S,Independent/Builder Floor,3.0,3.0,2.0,10421.0,Semi-furnished,0-1,1.0,4.0,1900.0,1.98,Mayfield Garden,single
S,Independent/Builder Floor,4.0,4.0,2.0,14047.0,Semi-furnished,0-1,1.0,4.0,2100.0,2.95,Sector 47,single
R,Residential Apartment,2.0,2.0,1.0,29000.0,Furnished,1-5,5.0,13.0,600.0,1.74,Sector 71,single
S,Residential Apartment,3.0,2.0,3.0,18822.0,Semi-furnished,0-1,22.0,26.0,1692.0,1.93,Sector 102,single
S,Independent/Builder Floor,4.0,4.0,2.0,21399.17695473251,Semi-furnished,0-1,2.0,4.0,2430.0,5.2,DLF Phase 1,single
S,Independent/Builder Floor,3.0,3.0,2.0,8269.0,Semi-furnished,0-1,4.0,4.0,2600.0,2.15,Sector 56,single
S,Independent/Builder Floor,3.0,3.0,2.0,6730.0,Semi-furnished,0-1,2.0,4.0,2600.0,1.75,Sushant Lok Phase 1,single
S,Independent/Builder Floor,3.0,3.0,2.0,10384.0,Semi-furnished,0-1,1.0,4.0,2600.0,2.7,Sector 55,single
S,Independent House/Villa,4.0,4.0,3.0,24166.0,Furnished,0-1,2.0,2.0,3000.0,7.25,Sector 48,multi
S,Independent/Builder Floor,3.0,3.0,3.1,11600.0,Semi-furnished,0-1,4.0,4.0,2500.0,2.9,Rosewood,single
S,Independent/Builder Floor,4.0,5.0,2.0,14090.0,Semi-furnished,0-1,3.0,4.0,3300.0,4.65,Sector 54,single
S,Residential Apartment,3.0,3.0,2.0,10000.0,Semi-furnished,10+,3.0,3.0,2100.0,2.1,Sector 54,single
S,Residential Apartment,4.0,4.0,3.0,13437.0,Semi-furnished,10+,10.0,14.0,3200.0,4.3,Suncity,single
S,Independent/Builder Floor,4.0,4.0,2.0,7777.777777777777,Semi-furnished,1-5,3.0,4.0,3240.0,2.52,Palam Vihar,single
S,Residential Apartment,3.0,3.0,3.0,7896.0,Semi-furnished,0-1,4.0,20.0,1811.0,1.43,Sector 37D,single
S,Independent/Builder Floor,3.0,3.0,2.0,13504.0,Semi-furnished,5-10,1.0,2.0,1935.0,2.1,Sushant Lok Phase 1,single
S,Residential Apartment,3.0,3.0,3.0,16843.0,Semi-furnished,1-5,21.0,40.0,3117.0,5.25,Sector 65,single
S,Residential Apartment,3.0,3.0,3.0,15528.0,Semi-furnished,Under Construction,21.0,32.0,2588.0,4.02,Sector 62,single
S,Residential Apartment,2.0,2.0,2.0,13923.0,Semi-furnished,Under Construction,12.0,32.0,1508.0,2.1,Sector 62,single
S,Independent/Builder Floor,3.0,3.0,2.0,11891.0,Semi-furnished,0-1,2.0,4.0,2160.0,2.2,Malibu Town,single
