,LATITUDE,LONGITUDE
4670, '28.399772', '76.968991'
4671, '28.394232', '76.959186'
4674, '28.404158', '77.099979'
4675, '28.399559', '77.061027'
4676, '28.466154', '77.077396'
4677, '28.486571', '77.086073'
4678, '28.401406', '77.050549'
4679, '28.356562', '76.973291'
4680, '28.356562', '76.973291'
4681, '28.449416', '77.041152'
4682, '28.44684967862', '77.10207066169'
4683, '28.408196', '76.930093'
4684, '28.266652', '77.064904'
4685, '28.451431', '77.091153'
4686, '28.489563', '77.087681'
4687, '28.395494', '76.9756004'
4688, '28.443185', '77.108897'
4689, '28.407289', '77.069686'
4690, '28.4015851', '77.0497516'
4691, '28.4572434', '77.0782527'
4692, '28.401406', '77.050549'
4693, '28.4015851', '77.0497516'
4694, '28.40614', '77.06529'
4695, '28.40614', '77.06529'
4696, '28.4889627', '77.0866646'
4697, '28.456103', '76.954222'
4698, '28.460407', '77.057905'
4699, '28.412173', '77.0361'
4700, '28.466586', '77.087008'
4701, '28.382196', '77.020381'
4702, '28.466586', '77.087008'
4703, '28.4637011', '77.0857987'
4704, '28.456675', '76.9755483'
4705, '28.4067756', '77.0823482'
4706, '28.392138', '77.033757'
4707, '28.4081658', '76.9628658'
4708, '28.39661', '76.97283'
4709, '28.405391', '76.952235'
4710, '28.455542686641', '76.9733897433'
4711, '28.504246', '77.068649'
4712, '28.405391', '76.952235'
4713, '28.455542686641', '76.9733897433'
4714, '28.50384', '77.03143'
4715, '28.4791609', '77.0593246'
4716, '28.481127', '76.973756'
4717, '28.378112', '77.056045'
4718, '28.4345552', '77.0578855'
4719, '28.425675', '77.043508'
4720, '28.42414', '77.06148'
4721, '28.4889627', '77.0866646'
4722, '28.407854', '76.9153281'
4723, '28.4234414', '77.0765927'
4724, '28.4153994', '77.037736'
4725, '28.445676', '77.007452'
4726, '28.47878', '76.99599'
4727, '28.393967', '76.959507'
4728, '28.390321', '76.962064'
4729, '28.390321', '76.962064'
4730, '28.399737', '76.969114'
4731, '28.5129305', '77.037736'
4732, '28.5085746', '77.0075055'
4733, '28.409021', '77.054554'
4734, '28.4085579', '76.951783'
4735, '28.39332', '76.945729'
4736, '28.3935416', '76.9599852'
4737, '28.390872', '76.95272'
4738, '28.397528', '77.022335'
4739, '28.39332', '76.945729'
4740, '28.397175', '76.935532'
4741, '28.39181', '76.949669'
4742, '28.409208', '76.925732'
4743, '28.409208', '76.925732'
4744, '28.39332', '76.945729'
4745, '28.409208', '76.925732'
4746, '28.39332', '76.945729'
4747, '28.404292', '76.916285'
4748, '28.4350568', '77.1013666'
4749, '28.3889069', '76.9513279'
4750, '28.3889069', '76.9513279'
4751, '28.516331087497', '76.995685046165'
4752, '28.460089', '77.066245'
4753, '28.403301', '77.045624'
4754, '28.40622', '77.042469'
4755, '28.4889627', '77.0866646'
4756, '28.4889627', '77.0866646'
4757, '28.4889627', '77.0866646'
4758, '28.5191141', '77.0165478'
4759, '28.5195227', '77.0278577'
4760, '28.4889627', '77.0866646'
4761, '28.5188766', '77.0170533'
4762, '28.518677', '77.015115'
4763, '28.518677', '77.015115'
4764, '28.421667', '77.10116'
4765, '28.481127', '76.973756'
4766, '28.482289', '76.991786'
4767, '28.53481', '77.02046'
4768, '28.481127', '76.973756'
4769, '28.40622', '77.042469'
4770, '28.4439933', '77.06652'
4771, '28.42049', '77.06328'
4772, '28.381397', '76.97928'
4773, '28.4891378', '76.9844677'
4774, '28.4891378', '76.9844677'
4775, '28.509691', '77.032006'
4776, '28.4572434', '77.0782527'
4777, '28.4754909', '77.1032095'
4778, '28.475081', '77.108819'
4779, '28.475081', '77.108819'
4780, '28.4754909', '77.1032095'
4781, '28.390392', '76.969342'
4782, '28.410307', '76.962527'
4783, '28.479276836122', '76.976094508889'
4784, '28.3889069', '76.9513279'
4785, '28.532594', '77.020297'
4786, '28.518677', '77.015115'
4787, '28.524123', '77.0348573'
4788, '28.524123', '77.0348573'
4789, '28.524123', '77.0348573'
4790, '28.524123', '77.0348573'
4791, '28.524123', '77.0348573'
4792, '28.524123', '77.0348573'
4793, '28.516331087497', '76.995685046165'
4794, '28.516331087497', '76.995685046165'
4795, '28.516331087497', '76.995685046165'
4796, '28.522621253811', '77.025486549749'
4797, '28.522621253811', '77.025486549749'
4798, '28.41201', '77.09085'
4799, '28.35927', '76.971745'
