,BEDROOM_NUM,BATHROOM_NUM,BALCONY_NUM,PRICE_PER_UNIT_AREA,AGE,SUPERBUILTUP_SQFT,PRICE,LOCALITY_WO_CITY,total_facilities,furnishing_type
149,3.0,3.0,3.0,26595.744680851065,1-5,2350.0,6.25,Sector 48,5,0
150,3.0,4.0,4.0,9627.0,1-5,2150.0,2.07,Sector 109,4,0
151,3.0,4.0,4.0,10195.0,1-5,1942.0,1.98,Sector 102,6,0
152,3.0,2.0,2.0,10727.0,Under Construction,1389.0,1.49,Sector 104,5,0
153,3.0,4.0,3.0,10883.0,5-10,2095.0,2.28,Sector 109,4,0
154,3.0,2.0,3.0,7857.0,Under Construction,1120.0,0.88,Sector 36 Sohna,4,1
155,4.0,5.0,2.0,30017.0,5-10,3931.0,11.7996827,Sector 48,5,0
156,4.0,5.0,2.0,29509.0,5-10,3931.0,11.5999879,Sector 48,5,0
157,3.0,3.0,2.0,25122.0,5-10,2647.0,6.65,Sector 48,5,0
158,4.0,5.0,3.0,27302.0,5-10,4615.0,12.599873,Sector 48,2,0
159,3.0,3.0,2.0,24705.0,5-10,2550.0,6.3,Sector 48,2,0
160,4.0,4.0,2.0,27085.0,5-10,4615.0,12.4997275,Sector 48,5,0
161,4.0,5.0,2.0,27518.0,5-10,4615.0,12.699557,Sector 48,5,0
162,4.0,4.0,2.0,28169.0,5-10,4615.0,12.9999935,Sector 48,5,0
163,3.0,3.0,2.0,23079.0,5-10,2838.0,6.55,Sector 48,5,0
164,3.0,3.0,2.0,23500.0,5-10,2647.0,6.45,Sector 48,5,0
165,3.0,4.0,2.0,23538.0,5-10,2719.0,6.4,Sector 48,5,0
166,3.0,3.0,2.0,23800.0,5-10,2647.0,6.3,Sector 48,5,0
167,3.0,3.0,2.0,22903.0,5-10,2838.0,6.5,Sector 48,5,0
168,4.0,6.0,3.0,27982.0,5-10,3931.0,10.9997242,Sector 48,5,0
169,4.0,6.0,3.0,31578.0,5-10,3800.0,11.99964,Sector 48,5,0
170,4.0,6.0,3.0,30921.0,5-10,3800.0,11.74998,Sector 48,5,0
171,4.0,5.0,4.0,29254.0,5-10,3931.0,11.4997474,Sector 48,5,0
172,3.0,4.0,3.0,12483.0,0-1,3725.0,4.65,Sector 112,4,0
