PREFERENCE,PROPERTY_TYPE,BEDROOM_NUM,BATHROOM_NUM,BALCONY_NUM,PRICE_PER_UNIT_AREA,FURNISH,AGE,FLOOR_NUM,SUPERBUILTUP_SQFT,PRICE,SOCIETY_NAME,LOCALITY_WO_CITY,FEATURES_LIST,stories,nearby_facilities
S,Residential Apartment,3.0,4.0,3.0,14290.0,Semi-furnished,1-5,4.0,2974.0,4.25,Raisina Residency,Sector 59,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Waste Disposal', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",single,"['Bank/ATM', 'Metro', 'School/College', 'Park']"
S,Residential Apartment,4.0,4.0,3.0,14839.0,Semi-furnished,5-10,8.0,2527.0,3.75,Conscient Heritage One,Sector 62,"['Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Waste Disposal', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",single,"['Bank/ATM', 'Hospital']"
S,Residential Apartment,3.0,3.0,3.0,8173.0,Semi-furnished,Under Construction,7.0,1790.0,1.23,ILD Grand,Sector 37C,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting']",single,"['School/College', 'Hospital', 'Airport']"
S,Residential Apartment,3.0,4.0,4.0,16753.0,Semi-furnished,5-10,3.0,2895.0,4.85,Parsvnath Exotica,Sector 53,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",single,"['Metro', 'School/College', 'Airport', 'Park']"
S,Residential Apartment,3.0,4.0,4.0,17098.0,Semi-furnished,5-10,4.0,2895.0,4.95,Parsvnath Exotica,Sector 53,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",single,"['Metro', 'School/College', 'Airport', 'Park']"
S,Residential Apartment,3.0,4.0,3.0,13937.0,Semi-furnished,1-5,2.0,2583.0,3.6,Suncity Essel Towers,Sector 28,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Bank Attached Property', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",single,"['Bank/ATM', 'Metro', 'Hospital']"
S,Residential Apartment,2.0,2.0,3.0,15646.0,Semi-furnished,1-5,3.0,1470.0,2.3,Ireo Victory Valley,Sector 67,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",single,"['Park', 'School/College', 'Hospital', 'Airport']"
S,Residential Apartment,3.0,4.0,3.0,23913.0,Furnished,1-5,25.0,2300.0,5.5,DLF Park Place,Sector 54,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Waste Disposal', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",single,"['Bank/ATM', 'Metro', 'School/College', 'Hospital']"
S,Residential Apartment,4.0,4.0,4.0,12500.0,Semi-furnished,Under Construction,11.0,2570.0,3.21,M3M Capital,Sector 113 Gurgaon,"['Lift(s)', 'Swimming Pool', 'Fitness Centre / GYM', 'Club house / Community Center']",single,"['Railway', 'School/College', 'Metro', 'Hospital', 'Airport']"
S,Residential Apartment,4.0,4.0,4.0,12500.0,Semi-furnished,Under Construction,11.0,2510.0,3.14,M3M Capital,Sector 113 Gurgaon,"['Lift(s)', 'Swimming Pool', 'Fitness Centre / GYM', 'Club house / Community Center']",single,"['Railway', 'School/College', 'Metro', 'Hospital', 'Airport']"
S,Residential Apartment,4.0,4.0,4.0,15500.0,Semi-furnished,Under Construction,10.0,2717.0,4.21,Elan The Mark,Sector 106,"['Lift(s)', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",single,"['Bank/ATM', 'Hospital']"
S,Residential Apartment,3.0,3.0,3.0,15500.0,Semi-furnished,Under Construction,9.0,2600.0,4.03,Elan The Mark,Sector 106,"['Lift(s)', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",single,"['Bank/ATM', 'Hospital']"
S,Residential Apartment,3.0,3.0,2.0,11396.0,Semi-furnished,Under Construction,8.0,1665.0,1.9,M3M Capital,Sector 113 Gurgaon,"['Lift(s)', 'Swimming Pool', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",single,"['Railway', 'School/College', 'Metro', 'Hospital', 'Airport']"
