,PREFERENCE,PROPERTY_TYPE,BEDROOM_NUM,BATHROOM_NUM,BALCONY_NUM,PRICE_PER_UNIT_AREA,FURNISH,AGE,FLOOR_NUM,TOTAL_FLOOR,SUPERBUILTUP_SQFT,PRICE,LOCALITY_WO_CITY,stories
9318,S,Residential Apartment,3.0,3,3.0,15310.0,Semi-furnished,0-1,9.0,11.0,2134.0,2.22,Sector-33 Sohna,single
9319,S,Residential Apartment,3.0,3,3.0,9502.0,Semi-furnished,0-1,8.0,11.0,1789.0,1.7,Sector-33 Sohna,single
9320,S,Residential Apartment,3.0,3,3.0,4786.0,Semi-furnished,1-5,4.0,23.0,1776.0,0.85,Sector 92,single
9321,S,Residential Apartment,4.0,4,3.0,8846.0,Semi-furnished,10+,4.0,10.0,2600.0,2.3,Sector 56,single
9322,S,Residential Apartment,4.0,5,3.0,13692.0,Semi-furnished,1-5,7.0,12.0,2410.0,3.3,Sector 66,single
9323,S,Residential Apartment,2.0,2,3.0,8333.0,Unfurnished,Under Construction,10.0,32.0,1440.0,1.2,Sector 85,single
9324,S,Independent/Builder Floor,3.0,3,3.0,17028.0,Unfurnished,1-5,1.0,2.0,1380.0,2.35,Sector 65,single
9325,S,Independent/Builder Floor,3.0,3,3.0,16406.0,Unfurnished,1-5,2.0,2.0,1830.0,2.1,Sector 65,single
9326,S,Independent/Builder Floor,5.0,5,4.0,9117.0,Semi-furnished,0-1,1.0,1.0,1700.0,1.55,Sushant Lok Phase 3,single
9327,S,Independent/Builder Floor,4.0,4,4.0,8984.0,Semi-furnished,Under Construction,4.0,4.0,2560.0,2.3,Sector 91,single
9328,S,Residential Apartment,3.0,3,4.0,6476.0,Semi-furnished,5-10,12.0,19.0,1930.0,1.25,Sector 90,single
9329,S,Residential Apartment,3.0,3,3.0,8016.0,Semi-furnished,Under Construction,13.0,22.0,1996.0,1.6,Sector-33 Sohna,single
9330,S,Residential Apartment,2.0,2,4.0,7971.0,Semi-furnished,Under Construction,10.0,22.0,1405.0,1.12,Sector-33 Sohna,single
9331,S,Residential Apartment,2.0,2,2.0,7633.0,Semi-furnished,Under Construction,10.0,22.0,1310.0,1.0,Sector-33 Sohna,single
9332,S,Residential Apartment,3.0,3,3.0,11944.0,Semi-furnished,0-1,6.0,11.0,2134.0,2.15,Sector-33 Sohna,single
9333,S,Residential Apartment,3.0,3,3.0,8384.0,Unfurnished,0-1,5.0,11.0,1789.0,1.5,Sector-33 Sohna,single
9334,S,Residential Apartment,3.0,3,3.0,14918.0,Unfurnished,1-5,10.0,16.0,1900.0,1.85,Sector 83,single
9335,S,Residential Apartment,3.0,3,3.0,5424.0,Unfurnished,0-1,8.0,29.0,1650.0,0.895,Sector 68,single
9336,S,Residential Apartment,3.0,3,3.0,4250.0,Unfurnished,1-5,4.0,23.0,1600.0,0.68,Sector 92,single
9337,S,Independent/Builder Floor,4.0,4,4.0,12857.0,Semi-furnished,1-5,2.0,2.0,1750.0,2.25,Sector 65,single
9338,S,Independent/Builder Floor,3.0,3,3.0,10312.0,Furnished,5-10,3.0,3.0,1600.0,1.65,Malibu Town,single
9339,S,Residential Apartment,2.0,2,2.0,4898.0,,0-1,2.0,4.0,980.0,0.48,Sector 92,single
9340,S,Residential Apartment,5.0,7,3.0,14398.0,Semi-furnished,1-5,0.0,16.0,3750.0,3.5,Sector 83,single
9341,S,Residential Apartment,2.0,2,2.0,4897.0,Semi-furnished,0-1,4.0,4.0,980.0,0.48,Sector 92,single
9342,S,Independent/Builder Floor,3.0,3,4.0,9666.0,Unfurnished,Under Construction,3.0,4.0,1500.0,1.45,Sector 92,single
9343,S,Independent/Builder Floor,4.0,4,3.0,9207.0,Unfurnished,Under Construction,2.0,4.0,1955.0,1.8,Sector 91,single
9344,S,Independent/Builder Floor,4.0,4,3.0,9184.0,Unfurnished,Under Construction,2.0,4.0,1742.0,1.6,Sector 91,single
9345,S,Residential Apartment,3.0,3,4.0,16237.0,Semi-furnished,1-5,14.0,30.0,1620.0,1.4,Sector 79,single
9346,S,Residential Apartment,3.0,3,1.0,8035.0,Unfurnished,1-5,14.0,19.0,1929.0,1.55,Sector 86,single
9347,S,Residential Apartment,3.0,3,3.0,22500.0,Semi-furnished,Under Construction,10.0,35.0,2200.0,3.6,Sector 62,single
9348,S,Independent/Builder Floor,10.0,10,4.0,8438.0,Furnished,0-1,5.0,5.0,2785.0,2.35,C block Sector 43,single
9349,S,Independent/Builder Floor,4.0,4,3.0,8984.0,Unfurnished,Under Construction,4.0,4.0,2560.0,2.3,Sector 91,single
9350,S,Independent/Builder Floor,10.0,10,4.0,6271.0,Furnished,0-1,5.0,5.0,2870.0,1.8,C Block Sushant Lok Phase 1,single
9351,S,Independent/Builder Floor,10.0,10,4.0,6785.0,Furnished,0-1,5.0,5.0,2800.0,1.9,C Block Sushant Lok Phase 1,single
9352,S,Independent/Builder Floor,10.0,10,4.0,7259.0,Furnished,0-1,5.0,5.0,2700.0,1.96,C block Sector 43,single
9353,S,Independent/Builder Floor,10.0,10,4.0,6666.0,Furnished,0-1,5.0,5.0,2700.0,1.8,C block Sector 43,single
9355,S,Independent/Builder Floor,10.0,10,4.0,6962.0,Furnished,0-1,5.0,5.0,2700.0,1.88,C Block Sushant Lok Phase 1,single
9357,S,Independent/Builder Floor,9.0,9,4.0,6712.0,Furnished,0-1,5.0,5.0,2756.0,1.85,C Block Sushant Lok Phase 1,single
9358,S,Independent/Builder Floor,9.0,9,4.0,7891.0,Furnished,0-1,5.0,5.0,2851.0,2.25,C Block Sushant Lok Phase 1,single
9359,S,Independent/Builder Floor,10.0,10,4.0,6923.0,Furnished,0-1,5.0,5.0,2860.0,1.98,C Block Sushant Lok Phase 1,single
9360,S,Independent/Builder Floor,10.0,10,4.0,6584.0,Furnished,0-1,5.0,5.0,2840.0,1.87,Sushant Lok Phase 1,single
9361,S,Independent/Builder Floor,10.0,10,4.0,7090.0,Furnished,0-1,5.0,5.0,2750.0,1.95,C Block Sushant Lok Phase 1,single
9362,S,Independent House/Villa,8.0,8,4.0,7200.0,Furnished,1-5,4.0,4.0,2500.0,1.8,Sushant Lok Phase 1,multi
9363,S,Independent/Builder Floor,9.0,9,4.0,7625.0,Furnished,0-1,5.0,5.0,4800.0,3.66,C Block Sushant Lok Phase 1,single
9366,S,Residential Apartment,4.0,4,3.0,9029.0,Semi-furnished,1-5,10.0,29.0,2215.0,2.0,Sector 90,single
9367,S,Residential Apartment,3.0,3,2.0,8400.0,Semi-furnished,1-5,13.0,29.0,1726.0,1.45,Sector 90,single
9368,S,Residential Apartment,3.0,3,4.0,7562.0,Unfurnished,5-10,12.0,29.0,1719.0,1.3,Sector 90,single
9369,S,Residential Apartment,3.0,3,3.0,21000.0,Semi-furnished,0-1,18.0,32.0,2588.0,4.2,Sector 62,single
9370,S,Residential Apartment,3.0,4,4.0,5595.0,Semi-furnished,0-1,8.0,19.0,1805.0,1.01,Sector 93,single
